date,price,tweet_count,has_tweet,price_diff_tomorrow,price_diff_rate_tomorrow,price_diff_1daysbefore,price_diff_rate_1daysbefore,price_diff_2daysbefore,price_diff_rate_2daysbefore,price_diff_3daysbefore,price_diff_rate_3daysbefore,price_diff_4daysbefore,price_diff_rate_4daysbefore,price_diff_5daysbefore,price_diff_rate_5daysbefore
2024/02/01,9.136003549801924e-07,236,True,2.044733046055405e-09,0.00223810447851647,-9.982394107373285e-08,-0.09850162608339628,-4.9376603010903056e-08,-0.04645893982057236,-2.6956049888880225e-09,-0.0025299050523699563,-3.098061386422949e-08,-0.028254683438407976,1.0379931109863434e-08,0.009557092344902289
2024/02/02,9.156450880262478e-07,0,False,1.1892421692736979e-08,0.012988025435021033,2.044733046055405e-09,0.00223810447851647,-9.982394107373285e-08,-0.09850162608339628,-4.9376603010903056e-08,-0.04645893982057236,-2.6956049888880225e-09,-0.0025299050523699563,-3.098061386422949e-08,-0.028254683438407976
2024/02/03,9.275375097189848e-07,619,True,-2.2311524741159826e-09,-0.0024054579472391935,1.1892421692736979e-08,0.012988025435021033,2.044733046055405e-09,0.00223810447851647,-9.982394107373285e-08,-0.09850162608339628,-4.9376603010903056e-08,-0.04645893982057236,-2.6956049888880225e-09,-0.0025299050523699563
2024/02/04,9.253063572448688e-07,514,True,-3.6387334923245254e-08,-0.0393246351744408,-2.2311524741159826e-09,-0.0024054579472391935,1.1892421692736979e-08,0.012988025435021033,2.044733046055405e-09,0.00223810447851647,-9.982394107373285e-08,-0.09850162608339628,-4.9376603010903056e-08,-0.04645893982057236
2024/02/05,8.889190223216235e-07,642,True,7.563554226744444e-09,0.008508710058865006,-3.6387334923245254e-08,-0.0393246351744408,-2.2311524741159826e-09,-0.0024054579472391935,1.1892421692736979e-08,0.012988025435021033,2.044733046055405e-09,0.00223810447851647,-9.982394107373285e-08,-0.09850162608339628
2024/02/06,8.96482576548368e-07,0,False,6.293259977944379e-09,0.007019946781536628,7.563554226744444e-09,0.008508710058865006,-3.6387334923245254e-08,-0.0393246351744408,-2.2311524741159826e-09,-0.0024054579472391935,1.1892421692736979e-08,0.012988025435021033,2.044733046055405e-09,0.00223810447851647
2024/02/07,9.027758365263124e-07,582,True,6.038041245647291e-08,0.06688306223259562,6.293259977944379e-09,0.007019946781536628,7.563554226744444e-09,0.008508710058865006,-3.6387334923245254e-08,-0.0393246351744408,-2.2311524741159826e-09,-0.0024054579472391935,1.1892421692736979e-08,0.012988025435021033
2024/02/08,9.631562489827853e-07,480,True,-5.604927022349364e-09,-0.005819333081490023,6.038041245647291e-08,0.06688306223259562,6.293259977944379e-09,0.007019946781536628,7.563554226744444e-09,0.008508710058865006,-3.6387334923245254e-08,-0.0393246351744408,-2.2311524741159826e-09,-0.0024054579472391935
2024/02/09,9.57551321960436e-07,183,True,5.8598412831376726e-08,0.0611961066602735,-5.604927022349364e-09,-0.005819333081490023,6.038041245647291e-08,0.06688306223259562,6.293259977944379e-09,0.007019946781536628,7.563554226744444e-09,0.008508710058865006,-3.6387334923245254e-08,-0.0393246351744408
2024/02/10,1.0161497347918126e-06,0,False,-1.5745123477303075e-09,-0.0015494885190841402,5.8598412831376726e-08,0.0611961066602735,-5.604927022349364e-09,-0.005819333081490023,6.038041245647291e-08,0.06688306223259562,6.293259977944379e-09,0.007019946781536628,7.563554226744444e-09,0.008508710058865006
